Index,Steps,Seed: 0
0,0,-123.0207
1,1200,-117.82412
2,2400,-80.548096
3,3600,-78.619156
4,4800,-86.244064
5,6000,-80.73818
6,7200,-73.896835
7,8400,-70.8302
8,9600,-80.39967
9,10800,-81.461914
10,12000,-75.23217
11,13200,-70.901566
12,14400,-58.18536
13,15600,-50.643677
14,16800,-59.630573
15,18000,-45.948925
16,19200,-46.670734
17,20400,-45.384712
18,21600,-57.699024
19,22800,-64.942955
20,24000,-51.42389
21,25200,-38.835453
22,26400,-51.24363
23,27600,-34.466568
