Index,Steps,Seed: 0,Seed: 1,Seed: 2,Seed: 3,Seed: 4
0,0,-207.21478,-209.55972,-154.76265,-223.84537,-189.11984
1,1200,-175.73634,-154.31543,-131.93716,-150.29257,-173.62593
2,2400,-154.64273,-154.19499,-119.262436,-136.11163,-177.14436
3,3600,-125.478325,-134.79424,-123.12739,-115.405876,-118.02934
4,4800,-133.88057,-118.31781,-111.46161,-113.55962,-116.60646
5,6000,-102.01455,-108.29767,-110.9103,-121.21233,-117.98952
6,7200,-124.4745,-117.52356,-117.80449,-108.24471,-104.2473
7,8400,-97.35228,-93.11609,-93.93616,-82.36655,-82.06416
8,9600,-115.68264,-83.93368,-87.65723,-71.27169,-89.40243
9,10800,-96.849266,-96.92081,-64.89658,-69.86297,-59.585674
10,12000,-81.42274,-78.36301,-69.935165,-54.221603,-49.83985
11,13200,-59.236233,-91.47016,-47.15049,-47.00696,-46.628456
12,14400,-102.460846,-65.669014,-55.506012,-28.913794,-31.529821
13,15600,-63.489315,-36.66844,-34.54271,-87.41949,-54.769474
14,16800,-45.1578,-42.449707,-20.831171,-13.748824,-52.823174
15,18000,-34.462975,-65.47072,-33.869736,-8.46584,-37.93175
16,19200,-32.272068,-34.09835,-29.384073,-10.636263,-35.017185
17,20400,-28.844177,-61.90458,-52.67139,-3.5363207,-14.803009
18,21600,-23.918661,-27.125944,-40.815285,0.05499476,-23.698738
19,22800,-14.055602,-40.822445,-45.692036,5.5417743,-5.311633
20,24000,-0.25297165,-27.619274,-2.9036553,-31.06412,6.6599684
21,25200,-70.95311,5.695457,14.49853,52.88241,-4.0294514
22,26400,-31.189486,-6.0581603,4.1992154,12.777089,12.55937
23,27600,-5.983846,0.15418689,-6.316146,28.468554,-5.624372
24,28800,-29.165749,1.3486979,-6.5715175,24.865232,16.464989
25,30000,-6.0897846,2.7547364,32.8129,84.0063,-16.273178
26,31200,29.466497,-4.4156375,3.1011581,62.8181,10.469147
27,32400,-7.042392,10.365279,26.512054,128.9217,-46.149998
28,33600,3.7605586,-11.375766,33.968678,29.687279,-3.667251
29,34800,4.561017,40.80895,53.119015,12.274632,68.482346
30,36000,44.076603,9.597161,47.385784,32.010204,24.663664
31,37200,-6.8428683,22.003763,89.28204,14.835839,-13.911615
32,38400,59.802586,75.21141,62.51952,35.936836,72.57627
33,39600,-8.791559,74.40044,55.601345,63.30031,10.711619
34,40800,12.244801,35.980534,58.245384,62.7361,17.569681
35,42000,15.636739,38.789967,84.21839,82.094536,89.62529
36,43200,4.7173142,10.958975,56.766407,31.147541,31.322645
37,44400,34.94635,65.193474,61.39449,69.52727,52.238266
38,45600,33.065395,30.213238,58.302094,-11.288315,51.04902
39,46800,28.09696,39.710022,165.4008,57.414364,66.71258
40,48000,56.81419,45.836605,107.126785,155.44803,31.92229
41,49200,87.58647,72.60531,46.253605,10.887247,73.90535
42,50400,111.973145,140.41718,72.05685,54.46808,87.89493
43,51600,45.60113,35.103615,66.22175,88.64571,63.02601
44,52800,115.55996,54.057102,77.901,41.112362,87.44911
45,54000,93.13363,46.917625,71.80083,116.50466,60.11613
46,55200,109.769905,56.847664,81.68765,85.502914,133.76451
47,56400,133.45148,89.936745,82.13376,72.93309,63.306095
48,57600,87.25055,85.37197,91.47127,86.22885,54.670895
49,58800,150.46779,48.32563,71.71256,107.67617,64.12593
50,60000,58.90556,51.085365,96.46537,92.546036,66.51015
51,61200,33.742844,105.84245,97.827126,48.969242,59.571804
52,62400,47.737335,51.703114,134.18405,114.54037,44.76063
53,63600,119.4255,92.408264,125.87532,112.878456,69.39151
54,64800,76.51057,9.518238,114.97968,105.92263,79.573265
55,66000,103.46718,79.47893,73.69857,85.494415,32.791203
56,67200,48.393124,36.75938,104.44126,117.78974,31.430445
57,68400,50.73457,65.96103,110.73832,78.216866,79.27922
58,69600,112.16572,73.11097,130.26091,117.286385,116.239075
59,70800,119.795044,44.429337,111.85001,111.478165,51.73943
60,72000,61.942852,93.38023,94.39531,72.27525,124.88137
61,73200,81.62828,60.9398,93.61903,143.11162,59.225
62,74400,34.567734,45.695824,159.19368,80.792534,56.449642
63,75600,59.95824,54.93858,132.37045,81.15389,81.13445
64,76800,76.33886,127.50177,115.00698,105.39083,180.12827
65,78000,151.12186,96.16177,111.78685,56.54738,53.462463
66,79200,92.46042,91.62679,176.87613,114.56072,150.79688
67,80400,74.587036,107.27173,118.07665,43.29884,128.60081
68,81600,95.266266,152.78851,158.09631,276.95007,50.95483
69,82800,121.18085,147.86058,57.11993,136.37064,123.03784
70,84000,82.81764,38.7162,50.382824,67.49876,93.53049
71,85200,69.86992,97.13288,95.77208,109.50033,74.11612
72,86400,64.71488,90.03066,114.75976,114.56089,139.36617
73,87600,97.42171,88.2553,105.80062,125.01557,132.29155
74,88800,118.93003,134.28798,106.937416,76.12778,94.380135
75,90000,102.503296,65.27116,114.87345,122.888084,100.82218
76,91200,49.481445,95.45467,92.68639,44.562954,165.90204
77,92400,196.16623,131.00478,161.63168,61.324753,82.86701
78,93600,97.315834,204.5726,92.927185,207.27345,207.34851
79,94800,91.80868,89.14391,60.447765,102.35371,72.788536
80,96000,94.46105,83.15563,49.53507,92.74572,137.57388
81,97200,85.1279,100.6352,73.33122,118.940285,60.8729
82,98400,59.54901,116.07764,63.99728,110.85801,75.50589
