Index,Steps,Seed: 0
0,0,-400.33334
1,1200,-600.0
2,2400,-399.83334
3,3600,-479.4
4,4800,-435.63635
5,6000,-342.0
6,7200,-265.66666
7,8400,-207.73914
8,9600,-227.66667
9,10800,-191.0
10,12000,-176.81482
11,13200,-191.04
12,14400,-149.0
13,15600,-149.0
14,16800,-132.33333
15,18000,-128.72974
16,19200,-125.31579
17,20400,-116.07317
18,21600,-119.0
19,22800,-103.347824
20,24000,-110.62791
21,25200,-110.60465
22,26400,-101.14893
23,27600,-108.09091
