Index,Steps,Seed: 0
0,0,-400.33334
1,1200,-600.0
2,2400,-400.0
3,3600,-600.0
4,4800,-400.0
5,6000,-600.0
6,7200,-600.0
7,8400,-400.0
8,9600,-600.0
9,10800,-400.0
10,12000,-600.0
11,13200,-600.0
12,14400,-400.0
13,15600,-600.0
14,16800,-400.0
15,18000,-600.0
16,19200,-600.0
17,20400,-400.0
18,21600,-600.0
19,22800,-400.0
20,24000,-600.0
21,25200,-600.0
22,26400,-400.0
23,27600,-600.0
