Index,Steps,Seed: 0
0,0,-1982.0
1,1200,-1881.375
2,2400,-1561.875
3,3600,-1447.125
4,4800,-1227.75
5,6000,-1137.75
6,7200,-678.25
7,8400,-987.0
8,9600,-924.0
9,10800,-785.625
10,12000,-505.75
11,13200,-730.5
12,14400,-697.875
13,15600,-445.0
14,16800,-654.0
15,18000,-425.5
16,19200,-633.75
17,20400,-619.125
18,21600,-415.75
19,22800,-610.125
20,24000,-454.36365
21,25200,-547.3333
22,26400,-616.875
23,27600,-404.5
